game_id,personid,status,order_num,jerseynum,position,starter,oncourt,played,name,assists,blocks,blocksreceived,fieldgoalsattempted,fieldgoalsmade,fieldgoalspercentage,foulsoffensive,foulsdrawn,foulspersonal,foulstechnical,freethrowsattempted,freethrowsmade,freethrowspercentage,minus,minutes,minutescalculated,plus,plusminuspoints,points,pointsfastbreak,pointsinthepaint,pointssecondchance,reboundsdefensive,reboundsoffensive,reboundstotal,steals,threepointersattempted,threepointersmade,threepointerspercentage,turnovers,twopointersattempted,twopointersmade,twopointerspercentage,dd,td,fpts,team
0022400131,1642353,INACTIVE,15,12,,False,False,False,Cam Christie,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Clippers
0022400131,1642280,INACTIVE,16,9,,False,False,False,Trentyn Flowers,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Clippers
0022400131,202695,INACTIVE,17,2,,False,False,False,Kawhi Leonard,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Clippers
0022400131,200782,INACTIVE,18,17,,False,False,False,P.J. Tucker,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Clippers
0022400132,1628369,ACTIVE,1,0,SF,True,False,True,Jayson Tatum,3,1,0,19,9,0.473684210526316,0,4,1,0,13,11,0.846153846153846,73.0,PT35M37.91S,PT36M,89.0,16.0,32,7,12,5,10,1,11,3,9,3,0.333333333333333,5,10,6,0.6,True,False,58.75,Celtics
0022400132,1627759,ACTIVE,2,7,PF,True,False,True,Jaylen Brown,5,1,1,19,8,0.42105263157894696,0,9,3,0,10,9,0.9,88.0,PT36M30.00S,PT36M,99.0,11.0,25,4,16,0,3,3,6,1,6,0,0.0,1,13,8,0.615384615384615,False,False,43.5,Celtics
0022400132,1628436,ACTIVE,3,40,C,True,False,True,Luke Kornet,1,2,0,2,2,1.0,0,3,1,0,2,1,0.5,50.0,PT23M31.05S,PT24M,66.0,16.0,5,0,4,2,2,2,4,1,0,0,0.0,0,2,2,1.0,False,False,17.5,Celtics
0022400132,201950,ACTIVE,4,4,SG,True,False,True,Jrue Holiday,1,0,2,12,5,0.416666666666667,0,3,2,0,2,1,0.5,71.0,PT31M56.86S,PT32M,77.0,6.0,14,6,4,0,5,0,5,1,6,3,0.5,0,6,2,0.333333333333333,False,False,25.25,Celtics
0022400132,1628401,ACTIVE,5,9,PG,True,False,True,Derrick White,5,1,2,16,6,0.375,0,1,4,0,2,2,1.0,80.0,PT35M04.96S,PT35M,100.0,20.0,17,2,6,0,2,0,2,1,10,3,0.3,0,6,3,0.5,False,False,32.5,Celtics
0022400132,1630202,ACTIVE,6,11,,False,True,True,Payton Pritchard,3,0,0,6,1,0.166666666666667,0,4,0,0,6,5,0.833333333333334,61.0,PT27M50.00S,PT28M,74.0,13.0,7,2,2,0,2,0,2,5,5,0,0.0,1,1,1,1.0,False,False,23.5,Celtics
