position,nameid,name,id,rosterposition,salary,gameinfo,teamabbrev,avgpointspergame,datetime,opp,team_id,opp_team_id,shortname,player_id,game_date,slateid
PF,PJ Dozier (37142376),PJ Dozier,37142376,PF/F/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,MIN,2.58,2024-12-25 14:30:00-05:00,DAL,1610612750,1610612742,pjdozier,1628408,2024-12-25,Turbo1
C,Luka Garza (37142406),Luka Garza,37142406,C/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,MIN,5.75,2024-12-25 14:30:00-05:00,DAL,1610612750,1610612742,lukagarza,1630568,2024-12-25,Turbo1
PG,Brandon Williams (37142441),Brandon Williams,37142441,PG/G/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,DAL,2.6,2024-12-25 14:30:00-05:00,MIN,1610612742,1610612750,brandonwilliams,1630314,2024-12-25,Turbo1
SG/SF,Kessler Edwards (37142444),Kessler Edwards,37142444,SG/SF/F/G/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,DAL,0.61,2024-12-25 14:30:00-05:00,MIN,1610612742,1610612750,kessleredwards,1630556,2024-12-25,Turbo1
C,Jesse Edwards (37142467),Jesse Edwards,37142467,C/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,MIN,0.0,2024-12-25 14:30:00-05:00,DAL,1610612750,1610612742,jesseedwards,1642399,2024-12-25,Turbo1
SG/SF,Terrence Shannon Jr. (37142469),Terrence Shannon Jr.,37142469,SG/SF/F/G/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,MIN,3.0,2024-12-25 14:30:00-05:00,DAL,1610612750,1610612742,terrenceshannon,1630545,2024-12-25,Turbo1
SG,Jaylen Clark (37142480),Jaylen Clark,37142480,SG/G/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,MIN,0.0,2024-12-25 14:30:00-05:00,DAL,1610612750,1610612742,jaylenclark,1641740,2024-12-25,Turbo1
SF/PF,Olivier-Maxence Prosper (37142488),Olivier-Maxence Prosper,37142488,SF/PF/F/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,DAL,5.6,2024-12-25 14:30:00-05:00,MIN,1610612742,1610612750,oliviermaxenceprosper,1641765,2024-12-25,Turbo1
PG,Daishen Nix (37142500),Daishen Nix,37142500,PG/G/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,MIN,2.83,2024-12-25 14:30:00-05:00,DAL,1610612750,1610612742,daishennix,1630227,2024-12-25,Turbo1
SF,Josh Minott (37142506),Josh Minott,37142506,SF/F/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,MIN,7.03,2024-12-25 14:30:00-05:00,DAL,1610612750,1610612742,joshminott,1631169,2024-12-25,Turbo1
PF/C,Leonard Miller (37142515),Leonard Miller,37142515,PF/C/F/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,MIN,4.0,2024-12-25 14:30:00-05:00,DAL,1610612750,1610612742,leonardmiller,1631159,2024-12-25,Turbo1
PG,Rob Dillingham (37142526),Rob Dillingham,37142526,PG/G/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,MIN,7.12,2024-12-25 14:30:00-05:00,DAL,1610612750,1610612742,robdillingham,1642265,2024-12-25,Turbo1
PG,Jazian Gortman (37142535),Jazian Gortman,37142535,PG/G/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,DAL,2.88,2024-12-25 14:30:00-05:00,MIN,1610612742,1610612750,jaziangortman,1641789,2024-12-25,Turbo1
