position,nameid,name,id,rosterposition,salary,gameinfo,teamabbrev,avgpointspergame,datetime,opp,team_id,opp_team_id,shortname,player_id,game_date,slateid
C,N'Faly Dante (37171106),N'Faly Dante,37171106,C/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,HOU,0.0,2024-12-29 19:00:00-05:00,MIA,1610612745,1610612748,nfalydante,1642368,2024-12-29,Night
PG,Josh Christopher (37171111),Josh Christopher,37171111,PG/G/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,MIA,-0.5,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,joshchristopher,1630528,2024-12-29,Night
SF,Pelle Larsson (37171121),Pelle Larsson,37171121,SF/F/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,MIA,10.9,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,pellelarsson,1641796,2024-12-29,Night
SG/SF,John Konchar (37170927),John Konchar,37170927,SG/SF/F/G/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,MEM,9.97,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,johnkonchar,1629723,2024-12-29,Night
C,Jay Huff (37170962),Jay Huff,37170962,C/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,MEM,17.04,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,jayhuff,1630643,2024-12-29,Night
C,Colin Castleton (37171015),Colin Castleton,37171015,C/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,MEM,2.59,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,colincastleton,1630658,2024-12-29,Night
PG,Adam Flagler (37171041),Adam Flagler,37171041,PG/G/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,OKC,2.64,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,adamflagler,1641745,2024-12-29,Night
SG,Cam Spencer (37171075),Cam Spencer,37171075,SG/G/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,MEM,7.38,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,camspencer,1642285,2024-12-29,Night
C,Branden Carlson (37171078),Branden Carlson,37171078,C/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,OKC,3.71,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,brandencarlson,1642382,2024-12-29,Night
SG,Alex Ducas (37171100),Alex Ducas,37171100,SG/G/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,OKC,0.0,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,alexducas,1642505,2024-12-29,Night
PF,Dillon Jones (37171118),Dillon Jones,37171118,PF/F/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,OKC,5.71,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,dillonjones,1641794,2024-12-29,Night
PF/C,Ousmane Dieng (37171170),Ousmane Dieng,37171170,PF/C/F/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,OKC,9.12,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,ousmanedieng,1631172,2024-12-29,Night
PF,Gregory Jackson (37171180),Gregory Jackson,37171180,PF/F/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,MEM,0.0,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,gregoryjackson,,2024-12-29,Night
PG,Nikola Topic (37171204),Nikola Topic,37171204,PG/G/UTIL,3000,MEM@OKC 12/29/2024 07:00PM ET,OKC,0.0,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,nikolatopic,1642260,2024-12-29,Night
PF,Joe Ingles (37170887),Joe Ingles,37170887,PF/F/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,MIN,2.21,2024-12-29 20:00:00-05:00,SAS,1610612750,1610612759,joeingles,204060,2024-12-29,Night
PF,PJ Dozier (37170946),PJ Dozier,37170946,PF/F/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,MIN,2.58,2024-12-29 20:00:00-05:00,SAS,1610612750,1610612759,pjdozier,1628408,2024-12-29,Night
PF/C,Sandro Mamukelashvili (37170978),Sandro Mamukelashvili,37170978,PF/C/F/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,SAS,9.36,2024-12-29 20:00:00-05:00,MIN,1610612759,1610612750,sandromamukelashvili,1630572,2024-12-29,Night
C,Luka Garza (37170982),Luka Garza,37170982,C/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,MIN,5.75,2024-12-29 20:00:00-05:00,SAS,1610612750,1610612759,lukagarza,1630568,2024-12-29,Night
SG,David Duke Jr. (37171030),David Duke Jr.,37171030,SG/G/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,SAS,6.0,2024-12-29 20:00:00-05:00,MIN,1610612759,1610612750,davidduke,1630561,2024-12-29,Night
C,Jesse Edwards (37171090),Jesse Edwards,37171090,C/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,MIN,0.0,2024-12-29 20:00:00-05:00,SAS,1610612750,1610612759,jesseedwards,1642399,2024-12-29,Night
