"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Jalen Brunson","41.81","PG","NYK","TOR","33.0","8,300","5.04","0.31"
"Jalen Johnson","41.71","PF","ATL","MIN","36.0","9,000","4.63","-3.29"
"Nikola Vucevic","41.22","C","CHI","MIL","32.0","8,300","4.97","-0.28"
"Tyrese Haliburton","39.91","PG","IND","GSW","34.8","8,200","4.87","-1.09"
"Tyrese Maxey","39.60","PG","PHI","SAS","37.7","8,600","4.60","-3.40"
"Russell Westbrook","38.97","PG","DEN","PHX","32.3","6,000","6.50","8.97"
"Evan Mobley","38.47","PF/C","CLE","UTA","30.3","7,600","5.06","0.47"
"Pascal Siakam","37.82","PF","IND","GSW","33.8","7,700","4.91","-0.68"
"Isaiah Hartenstein","37.69","C","OKC","WAS","27.8","7,100","5.31","2.19"
"Ivica Zubac","37.61","C","LAC","MEM","32.4","7,300","5.15","1.11"
"Zach LaVine","37.50","SG/SF","CHI","MIL","33.5","7,300","5.14","1.00"
"RJ Barrett","37.41","PG/SF","TOR","NYK","33.4","8,900","4.20","-7.09"
"Jalen Suggs","37.07","PG","ORL","BOS","31.7","7,600","4.88","-0.93"
"Kyrie Irving","37.01","PG/SG","DAL","POR","32.2","8,500","4.35","-5.49"
"Julius Randle","36.82","PF/C","MIN","ATL","32.3","7,300","5.04","0.32"
"Lauri Markkanen","36.36","SF/PF","UTA","CLE","31.0","6,700","5.43","2.86"
"Jaylen Brown","36.04","SG/SF","BOS","ORL","34.3","8,000","4.50","-3.96"
"Paul George","35.45","SF/PF","PHI","SAS","33.7","8,200","4.32","-5.55"
"Jordan Poole","35.40","PG/SG","WAS","OKC","29.7","7,500","4.72","-2.10"
"Darius Garland","35.38","PG","CLE","UTA","30.7","7,100","4.98","-0.12"
"Bradley Beal","35.24","SG/SF","PHX","DEN","34.7","7,400","4.76","-1.76"
"Norman Powell","35.17","SG/SF","LAC","MEM","34.3","7,000","5.02","0.17"
"Cameron Johnson","34.91","SF/PF","BKN","MIA","35.7","7,400","4.72","-2.09"
"Jaren Jackson Jr.","34.91","PF/C","MEM","LAC","28.6","7,200","4.85","-1.09"
"Josh Hart","34.15","SF/PF","NYK","TOR","34.8","7,000","4.88","-0.85"
"Austin Reaves","33.91","PG/SG","LAL","DET","34.3","5,900","5.75","4.41"
"Kristaps Porzingis","33.79","C","BOS","ORL","28.9","7,500","4.51","-3.71"
"Khris Middleton","33.70","SG/SF","MIL","CHI","24.0","6,000","5.62","3.70"
"Fred VanVleet","33.66","PG","HOU","CHA","34.5","6,900","4.88","-0.84"
"Coby White","33.59","PG/SG","CHI","MIL","34.1","6,100","5.51","3.09"
"Rudy Gobert","33.59","C","MIN","ATL","34.8","6,600","5.09","0.59"
"Jalen Green","33.02","SG","HOU","CHA","33.5","6,400","5.16","1.02"
"Goga Bitadze","32.80","C","ORL","BOS","27.8","6,400","5.12","0.80"
