position,nameid,name,id,rosterposition,salary,gameinfo,teamabbrev,avgpointspergame,datetime,opp,team_id,opp_team_id,shortname,player_id,game_date,slateid
C,Kel'el Ware (37170654),Kel'el Ware,37170654,C/UTIL,3100,MIA@HOU 12/29/2024 07:00PM ET,MIA,8.23,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,kelelware,1642276,2024-12-29,Main
C,Jaylin Williams (37170644),Jaylin Williams,37170644,C/UTIL,3100,MEM@OKC 12/29/2024 07:00PM ET,OKC,14.42,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,jaylinwilliams,1631119,2024-12-29,Main
PG,Tre Jones (37170641),Tre Jones,37170641,PG/G/UTIL,3100,SAS@MIN 12/29/2024 08:00PM ET,SAS,14.14,2024-12-29 20:00:00-05:00,MIN,1610612759,1610612750,trejones,1630200,2024-12-29,Main
SG/SF,Baylor Scheierman (37170706),Baylor Scheierman,37170706,SG/SF/F/G/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,BOS,3.55,2024-12-29 18:00:00-05:00,IND,1610612738,1610612754,baylorscheierman,1631248,2024-12-29,Main
PG,JD Davison (37170711),JD Davison,37170711,PG/G/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,BOS,1.9,2024-12-29 18:00:00-05:00,IND,1610612738,1610612754,jddavison,1631120,2024-12-29,Main
PF,Drew Peterson (37170714),Drew Peterson,37170714,PF/F/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,BOS,7.69,2024-12-29 18:00:00-05:00,IND,1610612738,1610612754,drewpeterson,1641809,2024-12-29,Main
SG/SF,Jaden Springer (37170717),Jaden Springer,37170717,SG/SF/F/G/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,BOS,3.84,2024-12-29 18:00:00-05:00,IND,1610612738,1610612754,jadenspringer,1630531,2024-12-29,Main
PF/C,Xavier Tillman (37170722),Xavier Tillman,37170722,PF/C/F/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,BOS,4.71,2024-12-29 18:00:00-05:00,IND,1610612738,1610612754,xaviertillman,1630214,2024-12-29,Main
SF,Anton Watson (37170726),Anton Watson,37170726,SF/F/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,BOS,0.0,2024-12-29 18:00:00-05:00,IND,1610612738,1610612754,antonwatson,1641817,2024-12-29,Main
PF/C,James Johnson (37170813),James Johnson,37170813,PF/C/F/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,IND,3.9,2024-12-29 18:00:00-05:00,BOS,1610612754,1610612738,jamesjohnson,201949,2024-12-29,Main
PG/SG,Quenton Jackson (37170817),Quenton Jackson,37170817,PG/SG/G/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,IND,13.08,2024-12-29 18:00:00-05:00,BOS,1610612754,1610612738,quentonjackson,1631245,2024-12-29,Main
PG,Tristen Newton (37170821),Tristen Newton,37170821,PG/G/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,IND,0.8,2024-12-29 18:00:00-05:00,BOS,1610612754,1610612738,tristennewton,1641803,2024-12-29,Main
PF/C,Enrique Freeman (37170824),Enrique Freeman,37170824,PF/C/F/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,IND,3.47,2024-12-29 18:00:00-05:00,BOS,1610612754,1610612738,enriquefreeman,1642402,2024-12-29,Main
